A盤	A槽
B盤	B槽
C盤	C槽
D盤	D槽
E盤	E槽
F盤	F槽
G盤	G槽
H盤	H槽
I盤	I槽
J盤	J槽
K盤	K槽
L盤	L槽
M盤	M槽
N盤	N槽
O盤	O槽
P盤	P槽
Q盤	Q槽
R盤	R槽
S盤	S槽
T盤	T槽
U盤	隨身碟
V盤	V槽
W盤	W槽
X盤	X槽
Y盤	Y槽
Z盤	Z槽
a盤	a槽
b盤	b槽
c盤	c槽
d盤	d槽
e盤	e槽
f盤	f槽
g盤	g槽
h盤	h槽
i盤	i槽
j盤	j槽
k盤	k槽
l盤	l槽
m盤	m槽
n盤	n槽
o盤	o槽
p盤	p槽
q盤	q槽
r盤	r槽
s盤	s槽
t盤	t槽
u盤	隨身碟
v盤	v槽
w盤	w槽
x盤	x槽
y盤	y槽
z盤	z槽
T臺	伸展台
t臺	伸展台
‘	『
’	』
“	「
”	」
CM cm	>
三叉搜索樹	三元搜尋樹
三叉樹	三元樹
三文魚	鮭魚
中端	中級
串口	序列埠
主存	主記憶體
主板	主機板
主頁	首頁
也門	葉門
二叉搜索樹	二元搜尋樹
二叉樹	二元樹
二手房	中古屋
二手樓	中古屋
二極管	二極體
互聯網	網路
交通島	安全島
人工神經	類神經
人臉識別	臉部辨識
人行橫道	斑馬線
人造革	人造皮
以太	乙太
估計不	大概不
估計是	大概是
估計能	大概能
估計要	大概要
大概率	大概
伴侶動物	寵物
低智	低能
低清	低畫質
低端	低階
低級編程語言	低階程式語言
低級語言	低階語言
低質量	低品質
例假	生理期
保修	保固
保存	儲存
保安員	保全
保安	保全
保暖杯	保溫杯
信息化	資訊化
信息和通信技術	資訊及通訊科技
信息學	資訊學
信息安全	資訊安全
信息技術	資訊科技
信息接觸	資訊參與
信息產業	資訊工業
信息科學	資訊學
信息管理	資訊管理
信息素	費洛蒙
信息論	資訊理論
信息過載	資訊超載
信息	訊息
個人數碼助理	個人數位助理
個人計算機	個人電腦
優死	安樂死
儲蓄罐	存錢筒
充電寶	行動電源
兆位元組	TB
光榮榜	榮譽榜
光標	游標
光盤	光碟
光驅	光碟機
克隆	複製
內存	記憶體
全局	全域
全屏	全螢幕
八叉樹	八元樹
公交車	公車
公交	公車
通天女公安	飛天小女警察
公安局	派出所
公汽	公車
分辨率	解析度
冰激凌	冰淇淋
冷害	寒害
冷庫	冷藏
冷背	冷門
函數庫	函式庫
初中	國中
刻錄	燒錄
前列腺	攝護腺
剪貼版	剪貼簿
創可貼	OK繃
力度	力道
勤雜人員	勤務員
匯編語言	組合語言
千位元組	KB
加載	載入
反饋	回饋
只讀存儲器	唯讀記憶體
可視化	視覺化
吉位元組	GB
吞拿魚	鮪魚
啟動盤	啟動硬碟
喇叭筒	麥克風
噪聲	雜訊
回車鍵	確認鍵
國際象棋	西洋棋
國際跳棋	西洋跳棋
圓珠筆	原子筆
圖像文件	圖檔
圖標	圖示
土豆	馬鈴薯
地址欄	網址列
地址	位址
基站	基地台
基類型	基本類型
墩布	拖把
外置	外接
大奔	賓士
婦男	家庭主夫
宇宙空間	外太空
富營養化	優養化
寬帶	寬頻
社區	社群
小區	社區
小帳	小費
居民身份證	身份證
主屏幕	主畫面
屏幕文字	字幕	>
鎖定屏幕	鎖定畫面
屏幕	螢幕
已發展國家	已開發國家
巴金森氏症	帕金森氏症
帖子	貼文
帶寬	頻寬
常量	常數
廁紙	衛生紙
彩票	彩券
惡心	噁心
慈悲殺人	安樂死
應用成功	套用成功
應用按鈕	套用按鈕
應用設定	套用設定
手持式計算機	筆電
手提電腦	筆克隆電
打印機	印表機
打印預覽	預覽列印
打印	列印
打車	叫車
文件擴展名	副檔名
擴展名	副檔名
托幼	托嬰
